date,Cattle,Corn,Rice,Soybean,Sugar,Wheat
2000-06-01,285331.0,591538.0,399325.0,175775.0,130764.0,582813.0
2001-06-01,283520.0,601652.0,399518.0,184897.0,134398.0,583791.0
2002-06-01,286882.0,604110.0,377979.0,196827.0,148552.0,570058.0
2003-06-01,287278.0,627532.0,392368.0,186479.0,142487.0,556088.0
2004-06-01,291981.0,716904.0,401016.0,215491.0,140734.0,627061.0
2005-06-01,287703.0,699896.0,418045.0,220777.0,144303.0,619105.0
2006-06-01,285705.0,715299.0,420026.0,235776.0,164278.0,596834.0
2007-06-01,290774.0,798462.0,434115.0,219309.0,163257.0,611710.0
2008-06-01,286047.0,806306.0,450140.0,212295.0,143833.0,684262.0
2009-06-01,285376.0,833716.0,440889.0,260986.0,153184.0,687531.0
2010-06-01,277186.0,849170.0,451393.0,265046.0,162221.0,650300.0
2011-06-01,278615.0,910355.0,469557.0,241166.0,172349.0,698743.0
2012-06-01,280287.0,903265.0,476040.0,268923.0,177833.0,660810.0
2013-06-01,284883.0,1033821.0,481266.0,283320.0,175971.0,718132.0
2014-06-01,288768.0,1061041.0,482800.0,321444.0,177582.0,732116.0
2015-06-01,284569.0,1021192.0,476741.0,316072.0,164972.0,739036.0
2016-06-01,277993.0,1129359.0,492076.0,350805.0,172143.0,757269.0
2017-06-01,283424.0,1087284.0,494796.0,343632.0,194222.0,760308.0
2018-06-01,283871.0,1132822.0,498359.0,363451.0,179158.0,729893.0
2019-06-01,290205.0,1128285.0,498705.0,341728.0,166559.0,759308.0
2020-06-01,290465.0,1134439.0,509407.0,369626.0,180262.0,772759.0
2021-06-01,286382.0,1221050.0,514233.0,360538.0,180700.0,780747.0
2022-06-01,290358.0,1165641.0,516928.0,378360.0,179247.0,790403.0
2023-06-01,289431.0,1230733.0,523648.0,396931.0,175663.0,791953.0
2024-06-01,285499.0,1225295.0,541508.0,421997.0,180754.0,799915.0
2025-06-01,283790.0,1263660.0,541273.0,427681.0,189318.0,808551.0
