date,commodity,value
2000-06-01,Cattle,285331.0
2001-06-01,Cattle,283520.0
2002-06-01,Cattle,286882.0
2003-06-01,Cattle,287278.0
2004-06-01,Cattle,291981.0
2005-06-01,Cattle,287703.0
2006-06-01,Cattle,285705.0
2007-06-01,Cattle,290774.0
2008-06-01,Cattle,286047.0
2009-06-01,Cattle,285376.0
2010-06-01,Cattle,277186.0
2011-06-01,Cattle,278615.0
2012-06-01,Cattle,280287.0
2013-06-01,Cattle,284883.0
2014-06-01,Cattle,288768.0
2015-06-01,Cattle,284569.0
2016-06-01,Cattle,277993.0
2017-06-01,Cattle,283424.0
2018-06-01,Cattle,283871.0
2019-06-01,Cattle,290205.0
2020-06-01,Cattle,290465.0
2021-06-01,Cattle,286382.0
2022-06-01,Cattle,290358.0
2023-06-01,Cattle,289431.0
2024-06-01,Cattle,285499.0
2025-06-01,Cattle,283790.0
2000-06-01,Corn,591538.0
2001-06-01,Corn,601652.0
2002-06-01,Corn,604110.0
2003-06-01,Corn,627532.0
2004-06-01,Corn,716904.0
2005-06-01,Corn,699896.0
2006-06-01,Corn,715299.0
2007-06-01,Corn,798462.0
2008-06-01,Corn,806306.0
2009-06-01,Corn,833716.0
2010-06-01,Corn,849170.0
2011-06-01,Corn,910355.0
2012-06-01,Corn,903265.0
2013-06-01,Corn,1033821.0
2014-06-01,Corn,1061041.0
2015-06-01,Corn,1021192.0
2016-06-01,Corn,1129359.0
2017-06-01,Corn,1087284.0
2018-06-01,Corn,1132822.0
2019-06-01,Corn,1128285.0
2020-06-01,Corn,1134439.0
2021-06-01,Corn,1221050.0
2022-06-01,Corn,1165641.0
2023-06-01,Corn,1230733.0
2024-06-01,Corn,1225295.0
2025-06-01,Corn,1263660.0
2000-06-01,Rice,399325.0
2001-06-01,Rice,399518.0
2002-06-01,Rice,377979.0
2003-06-01,Rice,392368.0
2004-06-01,Rice,401016.0
2005-06-01,Rice,418045.0
2006-06-01,Rice,420026.0
2007-06-01,Rice,434115.0
2008-06-01,Rice,450140.0
2009-06-01,Rice,440889.0
2010-06-01,Rice,451393.0
2011-06-01,Rice,469557.0
2012-06-01,Rice,476040.0
2013-06-01,Rice,481266.0
2014-06-01,Rice,482800.0
2015-06-01,Rice,476741.0
2016-06-01,Rice,492076.0
2017-06-01,Rice,494796.0
2018-06-01,Rice,498359.0
2019-06-01,Rice,498705.0
2020-06-01,Rice,509407.0
2021-06-01,Rice,514233.0
2022-06-01,Rice,516928.0
2023-06-01,Rice,523648.0
2024-06-01,Rice,541508.0
2025-06-01,Rice,541273.0
2000-06-01,Soybean,175775.0
2001-06-01,Soybean,184897.0
2002-06-01,Soybean,196827.0
2003-06-01,Soybean,186479.0
2004-06-01,Soybean,215491.0
2005-06-01,Soybean,220777.0
2006-06-01,Soybean,235776.0
2007-06-01,Soybean,219309.0
2008-06-01,Soybean,212295.0
2009-06-01,Soybean,260986.0
2010-06-01,Soybean,265046.0
2011-06-01,Soybean,241166.0
2012-06-01,Soybean,268923.0
2013-06-01,Soybean,283320.0
2014-06-01,Soybean,321444.0
2015-06-01,Soybean,316072.0
2016-06-01,Soybean,350805.0
2017-06-01,Soybean,343632.0
2018-06-01,Soybean,363451.0
2019-06-01,Soybean,341728.0
2020-06-01,Soybean,369626.0
2021-06-01,Soybean,360538.0
2022-06-01,Soybean,378360.0
2023-06-01,Soybean,396931.0
2024-06-01,Soybean,421997.0
2025-06-01,Soybean,427681.0
2000-06-01,Sugar,130764.0
2001-06-01,Sugar,134398.0
2002-06-01,Sugar,148552.0
2003-06-01,Sugar,142487.0
2004-06-01,Sugar,140734.0
2005-06-01,Sugar,144303.0
2006-06-01,Sugar,164278.0
2007-06-01,Sugar,163257.0
2008-06-01,Sugar,143833.0
2009-06-01,Sugar,153184.0
2010-06-01,Sugar,162221.0
2011-06-01,Sugar,172349.0
2012-06-01,Sugar,177833.0
2013-06-01,Sugar,175971.0
2014-06-01,Sugar,177582.0
2015-06-01,Sugar,164972.0
2016-06-01,Sugar,172143.0
2017-06-01,Sugar,194222.0
2018-06-01,Sugar,179158.0
2019-06-01,Sugar,166559.0
2020-06-01,Sugar,180262.0
2021-06-01,Sugar,180700.0
2022-06-01,Sugar,179247.0
2023-06-01,Sugar,175663.0
2024-06-01,Sugar,180754.0
2025-06-01,Sugar,189318.0
2000-06-01,Wheat,582813.0
2001-06-01,Wheat,583791.0
2002-06-01,Wheat,570058.0
2003-06-01,Wheat,556088.0
2004-06-01,Wheat,627061.0
2005-06-01,Wheat,619105.0
2006-06-01,Wheat,596834.0
2007-06-01,Wheat,611710.0
2008-06-01,Wheat,684262.0
2009-06-01,Wheat,687531.0
2010-06-01,Wheat,650300.0
2011-06-01,Wheat,698743.0
2012-06-01,Wheat,660810.0
2013-06-01,Wheat,718132.0
2014-06-01,Wheat,732116.0
2015-06-01,Wheat,739036.0
2016-06-01,Wheat,757269.0
2017-06-01,Wheat,760308.0
2018-06-01,Wheat,729893.0
2019-06-01,Wheat,759308.0
2020-06-01,Wheat,772759.0
2021-06-01,Wheat,780747.0
2022-06-01,Wheat,790403.0
2023-06-01,Wheat,791953.0
2024-06-01,Wheat,799915.0
2025-06-01,Wheat,808551.0
