date,region,country,value,unit,sector,source,metric_type
2024-01-01,MiddleEast,MiddleEast,72.14,percentage,energy,PETRONET,Share
2024-01-01,America,America,21.85,percentage,energy,PETRONET,Share
2024-01-01,Asia,Asia,4.82,percentage,energy,PETRONET,Share
2024-01-01,Africa,Africa,1.19,percentage,energy,PETRONET,Share
2024-01-01,Europe,Europe,0.0,percentage,energy,PETRONET,Share
2024-02-01,MiddleEast,MiddleEast,67.18,percentage,energy,PETRONET,Share
2024-02-01,America,America,20.57,percentage,energy,PETRONET,Share
2024-02-01,Asia,Asia,5.16,percentage,energy,PETRONET,Share
2024-02-01,Europe,Europe,4.2,percentage,energy,PETRONET,Share
2024-02-01,Africa,Africa,2.88,percentage,energy,PETRONET,Share
2024-03-01,MiddleEast,MiddleEast,75.65,percentage,energy,PETRONET,Share
2024-03-01,America,America,17.87,percentage,energy,PETRONET,Share
2024-03-01,Asia,Asia,3.69,percentage,energy,PETRONET,Share
2024-03-01,Africa,Africa,1.64,percentage,energy,PETRONET,Share
2024-03-01,Europe,Europe,1.15,percentage,energy,PETRONET,Share
2024-04-01,MiddleEast,MiddleEast,74.62,percentage,energy,PETRONET,Share
2024-04-01,America,America,18.74,percentage,energy,PETRONET,Share
2024-04-01,Asia,Asia,5.1,percentage,energy,PETRONET,Share
2024-04-01,Africa,Africa,1.54,percentage,energy,PETRONET,Share
2024-04-01,Europe,Europe,0.0,percentage,energy,PETRONET,Share
2024-05-01,MiddleEast,MiddleEast,67.25,percentage,energy,PETRONET,Share
2024-05-01,America,America,26.68,percentage,energy,PETRONET,Share
2024-05-01,Asia,Asia,3.89,percentage,energy,PETRONET,Share
2024-05-01,Africa,Africa,2.18,percentage,energy,PETRONET,Share
2024-05-01,Europe,Europe,0.0,percentage,energy,PETRONET,Share
2024-06-01,MiddleEast,MiddleEast,76.33,percentage,energy,PETRONET,Share
2024-06-01,America,America,20.49,percentage,energy,PETRONET,Share
2024-06-01,Asia,Asia,2.67,percentage,energy,PETRONET,Share
2024-06-01,Africa,Africa,0.51,percentage,energy,PETRONET,Share
2024-06-01,Europe,Europe,0.0,percentage,energy,PETRONET,Share
2024-07-01,MiddleEast,MiddleEast,65.55,percentage,energy,PETRONET,Share
2024-07-01,America,America,31.55,percentage,energy,PETRONET,Share
2024-07-01,Asia,Asia,1.64,percentage,energy,PETRONET,Share
2024-07-01,Africa,Africa,1.26,percentage,energy,PETRONET,Share
2024-07-01,Europe,Europe,0.0,percentage,energy,PETRONET,Share
2024-08-01,MiddleEast,MiddleEast,65.86,percentage,energy,PETRONET,Share
2024-08-01,America,America,23.35,percentage,energy,PETRONET,Share
2024-08-01,Asia,Asia,8.12,percentage,energy,PETRONET,Share
2024-08-01,Africa,Africa,1.85,percentage,energy,PETRONET,Share
2024-08-01,Europe,Europe,0.82,percentage,energy,PETRONET,Share
2024-09-01,MiddleEast,MiddleEast,71.69,percentage,energy,PETRONET,Share
2024-09-01,America,America,20.3,percentage,energy,PETRONET,Share
2024-09-01,Asia,Asia,5.56,percentage,energy,PETRONET,Share
2024-09-01,Africa,Africa,2.45,percentage,energy,PETRONET,Share
2024-09-01,Europe,Europe,0.0,percentage,energy,PETRONET,Share
2024-10-01,MiddleEast,MiddleEast,70.61,percentage,energy,PETRONET,Share
2024-10-01,America,America,22.14,percentage,energy,PETRONET,Share
2024-10-01,Asia,Asia,2.61,percentage,energy,PETRONET,Share
2024-10-01,Europe,Europe,2.33,percentage,energy,PETRONET,Share
2024-10-01,Africa,Africa,2.31,percentage,energy,PETRONET,Share
2024-11-01,MiddleEast,MiddleEast,75.83,percentage,energy,PETRONET,Share
2024-11-01,America,America,17.36,percentage,energy,PETRONET,Share
2024-11-01,Asia,Asia,3.45,percentage,energy,PETRONET,Share
2024-11-01,Africa,Africa,2.46,percentage,energy,PETRONET,Share
2024-11-01,Europe,Europe,0.9,percentage,energy,PETRONET,Share
2024-12-01,MiddleEast,MiddleEast,72.95,percentage,energy,PETRONET,Share
2024-12-01,America,America,20.77,percentage,energy,PETRONET,Share
2024-12-01,Asia,Asia,4.91,percentage,energy,PETRONET,Share
2024-12-01,Africa,Africa,1.36,percentage,energy,PETRONET,Share
2024-12-01,Europe,Europe,0.0,percentage,energy,PETRONET,Share
2025-01-01,MiddleEast,MiddleEast,73.46,percentage,energy,PETRONET,Share
2025-01-01,America,America,21.1,percentage,energy,PETRONET,Share
2025-01-01,Asia,Asia,3.21,percentage,energy,PETRONET,Share
2025-01-01,Africa,Africa,2.22,percentage,energy,PETRONET,Share
2025-01-01,Europe,Europe,0.0,percentage,energy,PETRONET,Share
2025-02-01,MiddleEast,MiddleEast,73.89,percentage,energy,PETRONET,Share
2025-02-01,America,America,21.28,percentage,energy,PETRONET,Share
2025-02-01,Asia,Asia,4.83,percentage,energy,PETRONET,Share
2025-02-01,Africa,Africa,0.0,percentage,energy,PETRONET,Share
2025-02-01,Europe,Europe,0.0,percentage,energy,PETRONET,Share
2025-03-01,MiddleEast,MiddleEast,73.11,percentage,energy,PETRONET,Share
2025-03-01,America,America,19.43,percentage,energy,PETRONET,Share
2025-03-01,Africa,Africa,4.01,percentage,energy,PETRONET,Share
2025-03-01,Asia,Asia,2.19,percentage,energy,PETRONET,Share
2025-03-01,Europe,Europe,1.26,percentage,energy,PETRONET,Share
2025-04-01,MiddleEast,MiddleEast,63.25,percentage,energy,PETRONET,Share
2025-04-01,America,America,27.35,percentage,energy,PETRONET,Share
2025-04-01,Asia,Asia,5.74,percentage,energy,PETRONET,Share
2025-04-01,Europe,Europe,3.03,percentage,energy,PETRONET,Share
2025-04-01,Africa,Africa,0.63,percentage,energy,PETRONET,Share
2025-05-01,MiddleEast,MiddleEast,61.47,percentage,energy,PETRONET,Share
2025-05-01,America,America,25.63,percentage,energy,PETRONET,Share
2025-05-01,Asia,Asia,8.06,percentage,energy,PETRONET,Share
2025-05-01,Africa,Africa,3.16,percentage,energy,PETRONET,Share
2025-05-01,Europe,Europe,0.62,percentage,energy,PETRONET,Share
2025-06-01,MiddleEast,MiddleEast,67.44,percentage,energy,PETRONET,Share
2025-06-01,America,America,25.73,percentage,energy,PETRONET,Share
2025-06-01,Asia,Asia,6.27,percentage,energy,PETRONET,Share
2025-06-01,Africa,Africa,0.56,percentage,energy,PETRONET,Share
2025-06-01,Europe,Europe,0.0,percentage,energy,PETRONET,Share
