commodity_name_en,export_amount,trade_yoy
Memory chips,8230269560.0,12.1677692591
Processors and controllers,2981291646.0,-7.7767191255
Others Type: 1,2582003193.0,1.8632982696
Machinery parts (HS8471),2246503121.0,28.6377895945
Vehicles (1.5-3L engine),1651981351.0,-5.5267575393
Other Cargo & Passenger Ships,1277397779.0,-11.6659443982
Hybrid vehicles (non-plug-in),1268195468.0,6.3834783717
SSD storage,1133934222.0,25.1518406147
Others Type: 2,1001543401.0,4.344609901
Tankers,989402022.0,47.0532202307
