commodity_name_en,import_amount,trade_yoy
Microbial fats and oils,1072468.0,3093210.2884615385
Enriched uranium and plutonium compounds,62705637.0,2578256.7845394737
Pharmaceutical compounds,133793.0,1337830.0
Others Type: 391,2504023.0,1304078.6458333333
Cranberries and bilberries,245564.0,982156.0
Calcium carbide,140088.0,778166.6666666667
Others Type: 928,18660.0,133185.7142857143
Others Type: 955,7637.0,127183.3333333333
Crude petroleum oil,5624730853.0,81721.7037866927
Others Type: 892,52003.0,72126.3888888889
