date,country,partner,trade_type,value,yoy_change
2025-06-01,South Korea,China,Total Imports,11496216,5.07
2025-06-01,South Korea,United States,Total Imports,5979627,8.78
2025-06-01,South Korea,Malaysia,Total Imports,1241985,9.38
2025-06-01,South Korea,United Arab Emirates,Total Imports,1206736,-26.08
2025-06-01,South Korea,Indonesia,Total Imports,961502,17.99
2025-06-01,South Korea,Italy,Total Imports,901904,36.68
2025-06-01,South Korea,Singapore,Total Imports,849262,26.54
2025-06-01,South Korea,France,Total Imports,736306,0.4
2025-06-01,South Korea,Thailand,Total Imports,639882,3.15
2025-06-01,South Korea,India,Total Imports,479545,-7.35
