item_en,trade_type,value
Jet fuel,Import Value Index,852.6073701283301
Transformer,Export Value Index,124.65759229521836
Natural gas (LNG),Import Value Index,107.08164731101611
Battery,Import Value Index,91.16837895971861
Basic chemical,Import Value Index,82.84208953030911
Basic chemical,Export Value Index,82.4497027954432
Jet fuel,Export Value Index,76.83269229982432
Gasoline,Export Value Index,54.356559957864924
Lubricants and greases,Export Value Index,50.17139197902186
Thick plate (3mm or more),Import Value Index,45.55301273468474
Thick plate (3mm or more),Export Value Index,19.586184767326124
Battery,Export Value Index,18.52152382741937
