date,Americas,Asia Pacific,Europe,Japan,World
1986-07-01,8508557.0,2052314.0,5343763.0,10450725.0,26355359.0
1987-07-01,10259204.0,3351365.0,6188093.0,12731790.0,32530452.0
1988-07-01,13418040.0,5374113.0,8103881.0,18108775.0,45004809.0
1989-07-01,14829035.0,5847566.0,8940562.0,19145763.0,48762926.0
1990-07-01,14445437.0,6911744.0,9598634.0,19563117.0,50518932.0
1991-07-01,15376273.0,8181322.0,10114860.0,20934999.0,54607454.0
1992-07-01,18410756.0,10587656.0,11470428.0,19396118.0,59864958.0
1993-07-01,24744008.0,14168291.0,14598998.0,23798388.0,77309681.0
1994-07-01,33561586.0,19174373.0,19736285.0,29406349.0,101878593.0
1995-07-01,46998462.0,29539871.0,28198670.0,39666677.0,144403681.0
1996-07-01,42679016.0,27550192.0,27561989.0,34175237.0,131966432.0
1997-07-01,45850894.0,30184046.0,29088799.0,32079382.0,137203120.0
1998-07-01,41431926.0,28852792.0,29406264.0,25921017.0,125611999.0
1999-07-01,47477880.0,37184300.0,31881274.0,32835097.0,149378551.0
2000-07-01,64071359.0,51263981.0,42308937.0,46749346.0,204393623.0
2001-07-01,35778448.0,39820081.0,30216266.0,33147815.0,138962610.0
2002-07-01,31275477.0,51155716.0,27788479.0,30493648.0,140713320.0
2003-07-01,32330682.0,62842618.0,32310026.0,38942196.0,166425522.0
2004-07-01,39064550.0,88781446.0,39424130.0,45756710.0,213026836.0
2005-07-01,40735591.0,103391342.0,39275143.0,44082061.0,227484137.0
2006-07-01,44911905.0,116481742.0,39904325.0,46418221.0,247716193.0
2007-07-01,42336283.0,123492222.0,40971530.0,48845303.0,255645338.0
2008-07-01,37880541.0,123974734.0,38249487.0,48498050.0,248602812.0
2009-07-01,38519818.0,119628429.0,29865103.0,38300016.0,226313366.0
2010-07-01,53675349.0,160025211.0,38053793.0,46560762.0,298315115.0
2011-07-01,55197414.0,164030199.0,37391135.0,42902590.0,299521338.0
2012-07-01,54358803.0,162984584.0,33163013.0,41055716.0,291562116.0
2013-07-01,61495501.0,174409695.0,34883404.0,34795264.0,305583864.0
2014-07-01,69323834.0,194229830.0,37458901.0,34830352.0,335842917.0
2015-07-01,68737935.0,201070473.0,34257539.0,31101914.0,335167861.0
2016-07-01,65537497.0,208394678.0,32706728.0,32291952.0,338930855.0
2017-07-01,88493523.0,248820629.0,38311471.0,36595321.0,412220944.0
2018-07-01,102997197.0,282862770.0,42957032.0,39961286.0,468778285.0
2019-07-01,78619471.0,257878591.0,39816073.0,35992841.0,412306976.0
2020-07-01,95366081.0,271032424.0,37519680.0,36471173.0,440389358.0
2021-07-01,121481333.0,342967241.0,47756777.0,43687163.0,555892514.0
2022-07-01,141135952.0,330936889.0,53853109.0,48158244.0,574084194.0
2023-07-01,134377318.0,289993840.0,55762774.0,46751493.0,526885425.0
2024-07-01,195122507.0,337436594.0,51250218.0,46739287.0,630548606.0
2025-07-01,89684185.0,152501665.0,21212146.0,18467880.0,281865876.0
